reduction,phase,wavelength_micron,planet_star_flux_ppm,flux_error_ppm,blackbody_star_brightness_temperature_k,temperature_error_k,used_in_5p25_10p25_summary
fiducial,0.0,5.25,1131.6342873365106,71.43728647951232,909.8216501472144,18.138417330488437,True
fiducial,0.0,5.75,1127.79956734175,62.33412043106349,862.5573250054867,15.536095339146016,True
fiducial,0.0,6.25,1238.6010753237497,77.32329065808874,849.0695880158663,18.258774809978945,True
fiducial,0.0,6.75,1148.9118477070876,64.5873554628003,792.3891734643751,15.44070564494666,True
fiducial,0.0,7.25,1400.5206494783,78.8375845045381,818.4056208971488,17.322926656496804,True
fiducial,0.0,7.75,1888.600519336496,80.21594582677652,890.9024954073125,15.901370362007015,True
fiducial,0.0,8.25,2171.212098509187,90.2400096599991,918.9876555220761,17.11189798128379,True
fiducial,0.0,8.75,2388.722615372938,87.12190234226738,935.2700211658945,16.059346332371206,True
fiducial,0.0,9.25,2583.4211169719665,103.4685593997216,948.4626256781913,18.671892966674136,True
fiducial,0.0,9.75,2902.31631893582,112.12913454489944,984.719394315371,19.71594393905997,True
fiducial,0.0,10.25,2901.069900066456,141.8235266170541,965.617954572756,24.88755750539474,True
fiducial,0.0,10.75,2068.6356280000414,303.2057497326113,798.024827434689,56.78993960930683,False
fiducial,0.0,11.25,2804.1663076978534,457.0549369015689,915.179383761569,80.47040383468021,False
fiducial,0.0,11.75,3475.998705065428,393.5839116943308,1016.2048990441722,66.91180319954776,False
fiducial,0.25,5.25,2944.99852159837,65.00715056871111,1285.680273371759,11.734767757526924,True
fiducial,0.25,5.75,3279.517166236703,50.34718826656641,1294.31325736361,8.791356976522252,True
fiducial,0.25,6.25,3464.893786801086,66.85978392628653,1282.19852625688,11.492565438350425,True
fiducial,0.25,6.75,3121.721965209045,62.62297392930978,1183.733947666279,11.009300599968128,True
fiducial,0.25,7.25,3649.890927187596,65.53185395554311,1240.4043628257155,11.109653940222188,True
fiducial,0.25,7.75,3995.16731292134,65.89504439887008,1267.601079267095,10.975485682986005,True
fiducial,0.25,8.25,4400.536762435634,70.56514795412116,1306.89699723023,11.569658065882777,True
fiducial,0.25,8.75,4632.669777980795,80.28863961861934,1319.8665146724197,13.078669924258179,True
fiducial,0.25,9.25,4933.578219942485,95.88637730444049,1346.0851269688205,15.511513470881596,True
fiducial,0.25,9.75,5350.723320613981,94.0735169089878,1392.7447222900214,15.100220629313185,True
fiducial,0.25,10.25,5262.227765275186,123.0795784821298,1359.7312947601756,19.83479843167231,True
fiducial,0.25,10.75,4860.106760257021,271.51675632243104,1277.2388446108755,44.22025545135887,False
fiducial,0.25,11.25,5335.683188691792,328.31811911492696,1338.339970081994,53.04229545080989,False
fiducial,0.25,11.75,5549.424814945227,356.3668480384966,1358.092815232554,57.47270413166393,False
fiducial,0.5,5.25,4844.3559337196,43.4272783763841,1604.892898889804,6.897825942672398,True
fiducial,0.5,5.75,5215.596295339799,44.97221126126323,1613.041326414872,7.065495376150693,True
fiducial,0.5,6.25,5452.750948758768,42.77764753894135,1606.5034216381223,6.696741486058386,True
fiducial,0.5,6.75,5141.44551726555,47.98561562279632,1518.9708535698978,7.619523878940868,True
