reduction,wavelength_min_micron,wavelength_max_micron,n_wavelength_bins,aggregation_rule,error_rule,offset_deg,formal_error_deg,semi_amplitude_ppm,chi_square,dof
fiducial,5.25,8.25,7,trapezoid,mean,-8.318893469120525,0.493471929011708,2098.408537432499,82.99879792692556,1
fiducial,5.25,8.25,7,trapezoid,maximum,-8.318893469120525,0.493471929011708,2098.408537432499,82.99879792692556,1
fiducial,5.25,8.25,7,uniform,mean,-8.308991478382186,0.48560589804566456,2085.269736713092,84.33636885173252,1
fiducial,5.25,8.25,7,uniform,maximum,-8.308991478382186,0.48560589804566456,2085.269736713092,84.33636885173252,1
fiducial,5.25,8.25,7,inverse_variance,mean,-8.698234413999579,0.48190300659512975,2062.2611472366816,62.22403808355502,1
fiducial,5.25,8.25,7,inverse_variance,maximum,-8.698234413999579,0.48190300659512975,2062.2611472366816,62.22403808355502,1
fiducial,5.25,8.75,8,trapezoid,mean,-8.48021790634017,0.47440988131663264,2092.3289014899983,78.08447204166862,1
fiducial,5.25,8.75,8,trapezoid,maximum,-8.48021790634017,0.47440988131663264,2092.3289014899983,78.08447204166862,1
fiducial,5.25,8.75,8,uniform,mean,-8.492838769987763,0.47122439616993894,2076.8593806029335,78.31709854961639,1
fiducial,5.25,8.75,8,uniform,maximum,-8.492838769987763,0.47122439616993894,2076.8593806029335,78.31709854961639,1
fiducial,5.25,8.75,8,inverse_variance,mean,-8.855514398860045,0.46654607831448214,2043.1408639304748,59.95556674850456,1
fiducial,5.25,8.75,8,inverse_variance,maximum,-8.855514398860045,0.46654607831448214,2043.1408639304748,59.95556674850456,1
fiducial,5.25,9.25,9,trapezoid,mean,-8.686867464231936,0.4592581134380449,2107.3281794652353,85.7344919106478,1
fiducial,5.25,9.25,9,trapezoid,maximum,-8.686867464231936,0.4592581134380449,2107.3281794652353,85.7344919106478,1
fiducial,5.25,9.25,9,uniform,mean,-8.73888823609023,0.4597459806687647,2113.823419870989,97.41117988072028,1
fiducial,5.25,9.25,9,uniform,maximum,-8.73888823609023,0.4597459806687647,2113.823419870989,97.41117988072028,1
fiducial,5.25,9.25,9,inverse_variance,mean,-8.853818839708822,0.4510144231798252,2049.416577659211,66.38087489454816,1
fiducial,5.25,9.25,9,inverse_variance,maximum,-8.853818839708822,0.4510144231798252,2049.416577659211,66.38087489454816,1
fiducial,5.25,9.75,10,trapezoid,mean,-8.951895864169675,0.4515115057188739,2137.6505484968056,98.86065750636915,1
fiducial,5.25,9.75,10,trapezoid,maximum,-8.951895864169675,0.4515115057188739,2137.6505484968056,98.86065750636915,1
fiducial,5.25,9.75,10,uniform,mean,-9.013930130350493,0.45076603608152954,2135.8450967637996,103.9571191697275,1
fiducial,5.25,9.75,10,uniform,maximum,-9.013930130350493,0.45076603608152954,2135.8450967637996,103.9571191697275,1
fiducial,5.25,9.75,10,inverse_variance,mean,-8.986079716160368,0.4413247018833113,2036.6797117930223,50.4496248477623,1
fiducial,5.25,9.75,10,inverse_variance,maximum,-8.986079716160368,0.4413247018833113,2036.6797117930223,50.4496248477623,1
fiducial,5.25,10.25,11,trapezoid,mean,-9.230309932799281,0.4472557501873311,2151.9138048247496,101.05695823627694,1
fiducial,5.25,10.25,11,trapezoid,maximum,-9.230309932799281,0.4472557501873311,2151.9138048247496,101.05695823627694,1
fiducial,5.25,10.25,11,uniform,mean,-9.295085732626001,0.45182414116426806,2145.6287212698007,99.95469370738554,1
fiducial,5.25,10.25,11,uniform,maximum,-9.295085732626001,0.45182414116426806,2145.6287212698007,99.95469370738554,1
fiducial,5.25,10.25,11,inverse_variance,mean,-8.977879804816776,0.43447368678665477,2033.3604218926114,46.2977850220249,1
