reduction,omitted_wavelength_micron,offset_deg,formal_error_deg,semi_amplitude_ppm,chi_square,dof
fiducial,5.25,-9.285963686993702,0.4774678799635659,2167.3690506300027,83.41490665480632,1
fiducial,5.75,-9.002869262267408,0.4712871897215889,2147.0237338211064,90.16101101189413,1
fiducial,6.25,-9.340617115863427,0.468677962342392,2143.7418611049343,104.10940209055647,1
fiducial,6.75,-9.097809554144845,0.4726653697644254,2160.3163470752374,73.64494361800347,1
fiducial,7.25,-9.22152801333695,0.4734514528838849,2152.4931352543126,107.54751811252969,1
fiducial,7.75,-9.366438944335087,0.4719937187789629,2150.5635590663073,80.6569464967106,1
fiducial,8.25,-9.135370201789117,0.48360400991436947,2149.760273035316,89.10406354017434,1
fiducial,8.75,-9.252960958739003,0.48006288497143057,2174.1283956305933,96.48821419710177,1
fiducial,9.25,-9.25009363639916,0.4891014388897883,2127.0848634443264,69.23535029947064,1
fiducial,9.75,-9.264102318225211,0.4973988141519978,2149.82329435347,85.24587360625105,1
fiducial,10.25,-8.951895864169675,0.4515115057188739,2137.6505484968056,98.86065750636915,1
eureka_v1,5.25,-9.478260675476006,0.4841156335128751,2204.1622257247514,119.59851458978224,1
eureka_v1,5.75,-9.220585904657522,0.47196882629392967,2179.979713797409,129.50901045241005,1
eureka_v1,6.25,-9.577743872532283,0.4760421904740717,2180.4838651711148,137.1179534952385,1
eureka_v1,6.75,-9.44123876305055,0.48312669944923936,2195.4211129146747,101.04564677050894,1
eureka_v1,7.25,-9.394481964781276,0.48227011765745953,2186.077994829692,143.26060375148157,1
eureka_v1,7.75,-9.54978631048695,0.48853105027239785,2185.2657599485965,110.52333211314084,1
eureka_v1,8.25,-9.4768240083768,0.4878271301175987,2188.5823027014007,122.63250385030626,1
eureka_v1,8.75,-9.274193417373242,0.5070885479484337,2204.127484265891,123.57809270140865,1
eureka_v1,9.25,-9.717537242656032,0.4868235443548432,2166.7662468264716,105.88388008559639,1
eureka_v1,9.75,-9.328220981891604,0.50939091774005,2176.2676069588297,112.8533101699503,1
eureka_v1,10.25,-9.097179670281497,0.46842989690467984,2167.77346883659,125.2166148947973,1
