quantity,value,unit
sector,9,TESS sector
period_days,0.813475,days; NASA Exoplanet Archive
published_duration_hours,1.1592,hours; NASA Exoplanet Archive
a_over_rstar,5.08909066667,fixed from saved a and stellar radius
limb_darkening_u1,0.4,fixed quadratic coefficient
limb_darkening_u2,0.23,fixed quadratic coefficient
quality_filtered_cadences,15274,count
symmetric_outliers_clipped,0,count
n_points,5396,
n_in_transit,937,
n_out_of_transit,4459,
depth_ppm,26341.1713827,
depth_error_ppm,110.649500253,
depth_snr,238.059560346,
formal_depth_error_ppm,88.8329244698,
reduced_chi_square,1.55149719251,
radius_ratio,0.156199097764,
radius_ratio_error,0.000386203558567,
impact_parameter,0.62621232163,
impact_parameter_error,0.00303376015559,
timing_shift_hours,-0.0614324804999,
timing_error_minutes,0.0750616335103,
fitted_duration_hours,1.20346317989,
chi_square_null,112715.774664,
dof_null,5394,
p_value_null,0,
chi_square_transit,8364.12136481,
dof_transit,5391,
p_value_transit,5.09821524804e-134,
delta_chi_square,104351.653299,
delta_dof,3,
p_value_improvement,0,
bic_null,112732.96149,
bic_transit,8407.0884309,
delta_bic,104325.873059,
transit_supported,True,
